pick_mode,mom_wins,rebal_n,abs_thresh,ma_win,trail_stop,risk_adj,calmar,ann,mdd,sharpe,total,years,max_hold,dist
class,"(20, 60)",10,0.0,60,0.08,True,-0.14831172935258116,-0.059236768759917124,0.399407174459504,-0.12030799199893318,-0.24064013428003694,4.508064516129032,1,5.948311729352581
all,"(10, 20, 60)",10,0.08,60,0.08,True,-0.15576652872116456,-0.08757238591474559,0.5622028470025654,-0.17983467271886971,-0.33843592804239364,4.508064516129032,1,5.955766528721164
all,"(10, 20, 60)",10,0.08,20,0.08,True,-0.15576652872116456,-0.08757238591474559,0.5622028470025654,-0.17983467271886971,-0.33843592804239364,4.508064516129032,1,5.955766528721164
all,"(20, 60)",10,0.0,60,0.08,True,-0.1792421394183741,-0.07713878437103505,0.4303607657292198,-0.12054403567032562,-0.30364192244040344,4.508064516129032,1,5.979242139418374
all,"(60,)",5,0.08,60,0.05,True,-0.18427490490921733,-0.09903587516322232,0.5374354973185966,-0.1986362688690585,-0.3750885526792216,4.508064516129032,1,5.984274904909217
all,"(60,)",10,0.08,20,0.05,True,-0.18692621783530974,-0.06677689008549026,0.35723661912596794,-0.16469164639614411,-0.26769393731600044,4.508064516129032,1,5.986926217835309
class,"(20, 60)",5,0.0,60,0.08,True,-0.1883611852233186,-0.08576753154120487,0.4553354845347781,-0.1866246335739755,-0.33251605365100656,4.508064516129032,1,5.988361185223319
all,"(10, 20, 60)",10,0.0,20,0.08,True,-0.18956977663253582,-0.10589719775647122,0.5586185711541114,-0.21704570375339183,-0.39625782433811474,4.508064516129032,1,5.9895697766325355
all,"(20, 60)",10,0.0,20,0.08,True,-0.1916879557824488,-0.07557868335353046,0.39427977123041835,-0.13153654827457975,-0.2983192866993496,4.508064516129032,1,5.9916879557824485
all,"(10, 20, 60)",5,0.0,60,0.05,True,-0.19363306171365977,-0.10261220894851675,0.5299312423219201,-0.18749997230292645,-0.3861934582128953,4.508064516129032,1,5.99363306171366
all,"(20, 60)",5,0.08,60,0.05,True,-0.21180409479725185,-0.10204902024837004,0.4818085332394344,-0.19711447855202596,-0.38445496310247684,4.508064516129032,1,6.0118040947972515
all,"(10, 20, 60)",5,0.0,20,0.05,True,-0.2133728136608119,-0.11307292022099769,0.5299312423219205,-0.22637682047966365,-0.4177957667192902,4.508064516129032,1,6.013372813660812
all,"(60,)",5,0.0,60,0.05,True,-0.2235156154267079,-0.12295852036907773,0.5501115442620901,-0.2835889748495153,-0.4464828429599256,4.508064516129032,1,6.0235156154267075
all,"(20, 60)",10,0.08,20,0.08,True,-0.23111670539863716,-0.09284599519311099,0.40172775495811686,-0.21058694892329646,-0.35549941222041637,4.508064516129032,1,6.031116705398637
all,"(20, 60)",10,0.08,60,0.08,True,-0.23414413737484638,-0.10076645025164654,0.4303607657292199,-0.22099794436819226,-0.38048152553119174,4.508064516129032,1,6.034144137374846
class,"(60,)",5,0.08,20,0.08,True,-0.23768614269952082,-0.11475379718726264,0.48279548771310843,-0.42708083762138577,-0.42275334641537277,4.508064516129032,1,6.0376861426995205
class,"(60,)",5,0.08,60,0.08,True,-0.23927875028542667,-0.09803212076638912,0.40969839841377587,-0.3161902912609994,-0.371943867293832,4.508064516129032,1,6.039278750285426
all,"(60,)",10,0.0,20,0.05,True,-0.24005178505409103,-0.12412165406561637,0.5170619915933887,-0.4251916446797849,-0.44978441214900644,4.508064516129032,1,6.040051785054091
all,"(20, 60)",5,0.08,60,0.08,True,-0.25572723954639,-0.12681052263857495,0.495881951658775,-0.24212886510229162,-0.45735814446355383,4.508064516129032,1,6.05572723954639
class,"(60,)",5,0.0,20,0.08,True,-0.2613567618503765,-0.12447328265719071,0.4762581299826868,-0.4533448067508703,-0.4507794911965485,4.508064516129032,1,6.0613567618503765
all,"(60,)",5,0.08,20,0.05,True,-0.262036178593267,-0.13786049470176476,0.526112445395382,-0.41465031736026714,-0.4876350403743387,4.508064516129032,1,6.062036178593267
all,"(20, 60)",5,0.08,20,0.05,True,-0.26306484351009396,-0.12674688639845977,0.4818085332394346,-0.2911695612032969,-0.4571798429843913,4.508064516129032,1,6.063064843510094
all,"(20, 60)",5,0.08,20,0.08,True,-0.263752164754273,-0.12462034730430505,0.4724903297776103,-0.24195743089672,-0.45119525606923394,4.508064516129032,1,6.0637521647542725
